McKee,Ngatamariki,Te_Mihi,aniwhenua,arapuni,aratiatia,argyle_wairau,atiamuri,aviemore,benmore,clyde,coleridge,glenbrook_kilns,highbank,huntly_1_4,huntly_e3p,huntly_p40,kapuni,karapiro,kawerau_new,kinleith,manapouri,mangahao,maraetai,matahina,mokai,nap,ohaaki,ohakuri,ohau_a,ohau_b,ohau_c,paerau,patea,poihipi,rangipo,roxburgh,southdown,stratford,te_apiti,te_rapa,te_rere_hau,te_uku,tehuka,tekapo_a,tekapo_b,tokaanu,twf_12,twf_3,waikaremoana,waipapa,waipori,wairakei,waitaki,west_wind,whakamaru,whareroa,wheao_flaxy,whirinaki,white_hill,Price
22967,43294,80888,3525.73,10271.5,8820,0,2420,24718,90431,45968,13370,29956.36,10041.9522,158456,128940,0,2017,19770,53593,17518,217223,1292,8730,5929,50071,67375,19675,7080,74357,43572,43485,521.19,1828,0,21695,41566,0,155334,27781,0,4391.88,6990.476,12151.796,0,73288,0,7430.5891,14592.9,3037,3030,4154.0202,69989,13637.5,24435,10380,3495,2505,0,19749.0262,85.6
22674,43054,80915,5020.36,17371,15440,0,9310,50085,95852,148816,19419,43429.17,10776.3936,103471,191346,19977,6917,19640,53762,16810,368088,0,50040,9356,39855,67875,19783,10850,70555,68807,67889,0,4473.5,20833,23736,49580.5,0,19193,24,0,0,8384.28,10891.1271,0,37249,20192,49.45115,1894.2,21219,12870,18,68660,13633,789,29600,7623,4991,0,85.0048,84.88
45233,43164,81114,5341.71,22285,26850,5314,17050,72909,218840,169153,16732,36604.8,8806.8484,115986,192588,20939,6880,24740,53902,13912,316816,858,39800,9362,43922,70851,19858,24910,90321,73931,73949,0,8693,20945,31167,59222,0,56321,0,0,0,14403.0162,12315.6446,0,37503,20030,0,0,17710.5,11160,9296.5215,68451,15979,0.5,28590,1707,5927,0,17274.5637,72.78
46362,43001,80856,10901.21,21994,7310,5296,18050,76700,160356,161345,18021,44829.61,11030.4096,196453,189254,20894,3433,28850,54032,15526,222012,0,67040,34557,47607,66952,19642,14790,112550,95783,95434,2956.79,4447,0,43475,73591,0,164065,0,0,2.18,14472.9439,11776.5863,13328,74501,86092,17.03015,1055.69,10136,14220,18675.5209,69831,14173,21648.5,37170,8776,5419,0,946.8169,104.56
2816,43175,81128,5064.05,16876,13820,0,16330,76002,191292,164420,19179,25714.17,8904.8778,106547,192569,0,6540,19230,53866,17797,295666,0,41940,9303,46958,70797,20051,35380,77250,49083,48261,1411.9,6066,20861,21635,40020,0,50911,35016,0,15390.3,78.4193,12185.0675,0,38000,0,14752.4442,30598.6,9979.5,12840,10999.1416,68358,17386.5,27860.5,13630,3674,2549,0,7329.9548,65.89
0,43126,80689,3581.26,337.5,12660,0,0,61759,163601,52964,14745,40437.8,9912.8666,65971,189596,0,7535,19220,53800,18219,99452,0,8120,6022,44860,67648,20182,0,98129,81221,79825,546.99,4463,20987,21841,50102,0,0,16243,0,5824.89,30613.0534,11391.7967,0,38249,1,7708.807,18508.48,3055.5,6190,10339.6019,69595,18537.5,565,0,7446,2332,0,22856.8712,144.74
45895,43276,80886,6983.43,22405.5,26860,3631,21580,73544,212409,174253,18350,28955.56,10889.8482,113998,192565,20945,6866,19750,53832,15935,367482,0,55480,9372,45092,67546,20321,30000,112643,98300,98092,1543.63,2992.5,20939,29595,69871.5,0,40837,3933,1516.0799,4614.98,22509.7677,11916.5647,0,37157,47563,2423.4506,13929.73,7355,14820,13365.5626,68577,14835.5,4,38250,4430,5164,0,0,93.17
43613,43069,81112,5066.6,24128,26610,5289,18130,95048,217635,174092,19455,41139.8,11013.73,118111,191270,20218,6642,19770,53669,13759,365841,1031,56290,9367,42511,67171,20528,25910,64269,49629,47978,1926.18,9867.5,20919,21622,77332,0,52901,24,0,674.37,24656.1186,12116.898,0,37153,23219,392.9124,3165.94,2953.5,15200,14734.5594,68447,14757.5,0,32330,4504,2717,0,13735.6351,237.69
0,43229,81045,4270.32,19127,12850,0,0,46263,85775,104231,19176,33160.61,10885.8792,41318,169093,0,7107,19720,53796,16870,330266,0,2040,9369,50287,67803,20139,0,78865,50564,49869,2288.96,1515,20878,21821,29578,0,0,0,0,2.42,8509.1071,12726.0398,0,37101,0,0.1029,383.18,2857.5,140,7005.8306,68966,15660,4264.5,0,1558,2524,0,9179.7443,49.68
23771,43277,81446,4517.54,24180.5,26040,0,4080,48346,152956,163451,19417,43258.18,10778.236,111944,196280,20930,7601,19870,53763,17990,222329,0,6990,9360,41955,67739,20719,9070,99137,72048,71124,0,4021.5,21047,21396,59654,0,0,13653,0,2732.88,16110.2012,12147.3432,0,37249,0,1319.64005,11854.36,2979.5,4330,11452.0829,69370,13540.5,0,7100,7802,2527,0,13344.1041,77.28
23201,43252,81213,3884.98,19714,25160,4850,19620,74770,198268,174081,18349,29653.54,10888.9368,117087,175863,20880,6866,19870,53810,15663,335405,1182,64830,9378,45237,67072,20084,22460,107735,90983,90434,1460.55,3957,20953,21610,61412.5,0,43684,1034,0,1950.28,26768.888,12453.9372,0,37150,23919,640.39965,7669.61,3002,13880,16078.1448,68690,14949.5,0,37250,4315,2516,0,8.5885,118.21
23435,43070,80655,8032.04,214,7870,2999,0,17265,31494,0,18438,40722.28,10541.6346,119444,152467,0,1159,20810,53797,10100,222213,3280,0,9453,48740,67558,19752,0,46099,31819,30879,0,1605.5,0,27104,38139,0,125167,38309,0,14275.36,26706.1881,10194.8347,13819,73120,0,14571.3592,34884,2920.5,0,15.5,69744,10646,31450.5,0,1735,2588,0,0,68.03
23103,43154,80642,4084,38769,10250,4589,8710,49174,149902,107148,17317,43797.9,10595.2896,248004,191717,20970,1795,34730,53316,15720,220719,864,20400,9336,46232,67523,19349,26400,48873,26292,25586,1561.24,9264,0,21827,49321,0,259349,11291,3150.473,6293.7,14671.115,11233.2041,0,73305,20402,10225.07385,25337.05,15018,5710,16650.0655,69263,14060,31338,15090,4331,2385,0,10267.6426,246.9
47097,43270,81938,3997.5,22607.5,25580,209,9190,75944,144369,160892,18921,45930.58,10530.6586,243623,197659,0,8744,19250,53925,17424,165443,0,60180,9466,44656,67327,20275,15130,105290,89785,88794,1139.83,12514,0,29364,50109,0,186986,38666,0,11473.75,20744.6717,11375.87,0,38102,20462,15026.0815,29290.32,7500.5,17110,19911.4583,69430,18595.5,3420.5,29600,10603,2353,0,25150.0109,161.75
45567,43078,81102,10807.24,17836,7820,4962,8950,47986,117720,125820,18033,43283.25,10652.992,134691,187641,0,8185,19220,53831,17501,224188,2740,42410,28175,48320,66994,19564,13970,56857,51724,51334,0,3359,0,49553,50271,477,124493,29090,0,10411.67,10677.4375,11402.0906,13285,74386,56974,7198.06565,26097.21,3959.5,13840,479.5085,69280,12314.5,29991,36480,6584,5180,0,2123.6097,56.31
21121,43330,81582,7182.09,22112,23380,0,25750,97006,176102,171714,19442,39155.1,10785.0666,118103,196555,21420,6831,19530,53689,16689,366456,0,41500,9356,45148,67950,20573,37300,95116,73093,71866,1322.29,6924,21060,21658,65083.5,0,25823,0,0,112.18,24518.5935,13408.5476,0,37146,0,113.76255,1784.62,2940,10900,12263.071,69564,17803.5,7514.5,38510,6856,2524,0,9739.9585,127.75
0,43258,81267,4119.64,11629.5,12840,0,0,45007,31606,52747,19178,32939.53,10887.5158,16793,167795,0,7202,19780,53798,17322,332540,0,2020,9367,50285,67845,20437,0,45653,41768,41110,2371,1533,20891,21821,39567.5,0,0,0,0,0,7944.6895,13144.9934,0,37102,0,0,161.13,2853.5,0,6605.0358,68721,18600,10831,0,1668,2526,0,2876.2396,56.28
45921,43268,82182,10456.08,22339.5,11240,1716,26570,77997,169517,154601,19135,42420.01,10527.3854,202851,194712,21026,0,19190,53845,13477,299807,0,66720,17195,38385,67849,20286,34360,111508,96706,95209,2615.11,11059.5,0,43165,48879.5,0,231084,413,0,1812.12,8663.9216,13301.8407,0,38104,62895,1520.5181,7344.12,9843,14050,16171.4813,69357,18466,25360.5,31090,6264,4887,0,0,125.39
20273,42626,78863,3571.53,5466.5,7850,0,0,24708,33286,0,18454,33035.06,8810.396,0,152208,0,6455,19270,53444,12679,220837,0,0,5925,46112,69560,18843,0,54485,46414,46309,1130.51,682,20641,11821,41459.5,0,0,31519,0,7597.91,27988.5541,11746.4981,0,37996,0,12215.5294,28015.68,3111,0,3943.5935,68182,14579.5,29753,0,1290,2592,0,10966.229,22.56
22588,43174,79575,6171.97,22432.5,10280,5300,16990,49364,161376,103155,17289,44507.46,10160.6694,191955,191129,20694,1912,20690,53720,14768,306616,515,55430,9310,47329,67370,19526,17160,58477,48215,47992,3027.32,8783.5,0,32305,39500,0,248847,22249,16142.5594,7190.92,3209.0895,11295.9291,0,35029,93685,5926.62285,21122.32,10291.5,14570,17806.9635,69007,11613,23893,32200,4176,2789,0,7175.1136,250.2
46167,43182,82024,9481.82,22222,12240,1717,22060,75485,179281,215530,19145,44410.75,10640.742,240714,192293,0,575,19110,53848,17100,275401,0,89640,17252,40577,67680,19922,35630,102115,86238,85293,3017.19,11153,0,32010,58768.5,351,234447,10000,0,4434.79,3914.5177,12675.2648,0,37795,107382,4498.4457,19171.84,9959.5,17590,20689.0643,69176,18486.5,9814,44220,6522,7597,0,10613.4673,181.34
44415,43189,81294,5135.01,20062.5,23470,4969,17250,99082,185527,173292,12884,37889.81,10773.287,117958,191577,20440,6693,19600,53730,16976,264685,680,57160,9366,43357,68000,20534,24890,98089,83535,83149,2362.47,7623.5,20876,21605,59408,0,40091,3148,0,415.77,2227.7719,12588.9472,0,37145,23496,1043.6749,5040.63,3029.5,12740,15323.035,68440,19167,8166,30800,1855,4991,0,998.2808,91.52
0,43484,81330,9272.88,20624.5,8360,2824,15050,70487,121782,128894,19444,31968.99,10285.884,70216,197617,0,0,20240,53415,15831,368772,0,16930,9394,50252,68084,20471,13340,82490,71863,71500,2531.4,7736,21028,21789,40814,0,0,13,0,0,7152.9033,13636.5196,0,37400,482,0.1339,826.27,3047.5,14460,7620.5332,69571,15409,2074,28010,1610,2778,0,2469.7882,71.96
47120,43304,82023,4000.89,22635.5,25590,0,8020,72806,172974,162610,18920,45829.96,10399.27,242669,197668,0,8749,19230,53937,18033,128518,0,55810,9461,44805,67381,20279,10340,99172,84939,83961,575.02,12871,0,29372,49872,405,158343,34356,0,9626.55,24022.5435,11298.7059,0,38101,589,12969.5554,23622.84,7465,12080,21157.2014,69415,18590.5,4128.5,29610,10925,2356,0,25444.7255,171.98
23039,43306,81392,5066.84,11441.5,12950,0,8940,81833,222864,154535,19156,40540.84,9906.6142,106816,170242,20917,6782,20290,53915,15281,167459,0,42280,9384,43444,68005,20826,13890,111643,93772,94083,0,4731,20893,21812,49264,0,45367,27206,0,3107.08,24.1123,13058.18,0,37250,0,9708.65115,14888.44,2940.5,10620,15251.8108,69263,21624,7510.5,27640,8003,2380,0,2417.0141,117.26
0,43198,81108,4014.6,16511.5,9170,0,3600,62291,175227,151845,19461,36623.4,10782.4,85508,173564,0,6992,19660,53804,17451,279948,0,17160,5937,45505,68085,20262,1870,74151,46236,46279,0,3825.5,20935,21831,39448.5,0,0,10588,0,5083.97,10191.9,11544,0,37301,0,4304.86,19190.3,2967,5210,705.24,69202,19225,14630.5,14700,7483,2774,0,3231.36,75.76
0,43276,81314,3911.51,10283.5,12850,0,0,49214,31522,54463,19176,33095.33,10887.8098,16830,165911,0,7046,19790,53815,16819,331708,0,2030,9367,50189,67872,20655,0,44910,40491,40661,2351.53,3789,20923,21819,39423,0,0,0,0,0,6028.8373,13328.0315,0,37150,0,0,13.1,2860,4150,7588.0045,68844,18548,13122,0,1570,2526,0,1306.8667,57.59
45704,43244,80798,7969.48,22670.5,26860,4656,31640,74327,209809,173842,18350,29322.59,10888.6232,116769,192616,20915,6858,19660,53822,15824,366647,0,66930,9370,44755,67630,20290,32640,112355,98117,97253,1863.75,7111,20932,29598,76755.5,0,51156,2836,14981.2088,3851.45,17994.3184,12115.4997,0,37148,71412,1996.95435,11909.59,7454,18250,15735.1559,68647,14809,245.5,44230,4377,5160,0,32.6037,128.33
23576,43255,80857,4475.16,24496,14790,3220,9210,66989,178826,167536,19470,40567.42,10783.3124,109222,194377,20929,7263,19680,53755,17753,335406,0,49380,9393,45999,67867,20235,11160,100193,91904,91131,1407.55,3498.5,20987,21729,67785.5,0,28394,0,0,0,2697.5867,13443.0588,0,37150,23520,0,0,3007,13210,8191.6794,69141,17820.5,23872,27940,6786,2519,0,12717.1265,75.89
23540,43415,81813,4227.79,10540,12800,0,8510,50738,118739,51522,18427,39010.34,10156.818,166301,175846,0,2705,19240,53906,18442,166373,1629,21550,9334,51569,68209,20463,11160,82653,71783,71236,0,6969.5,0,21641,39548,0,159284,10480,0,0,10862.891,12905.9937,0,37889,0,1619.26295,,3157.5,320,13122.6794,70263,16356,41.5,0,8043,2341,0,21327.0575,153.54
23729,43091,81309,9681.63,4007.5,8360,2982,0,22522,81793,0,18765,39635.73,9164.225,115584,132724,0,0,27080,53839,13584,221520,6237,0,16773,48273,67786,19926,0,48850,34481,34281,613.6,8906.5,0,44473,28305,0,142205,15618,0,4691.79,6360.2877,11572.5241,0,72498,20201,3117.2483,19084.23,3078,0,5728.8073,69516,12644,12899,0,4230,2787,0,1489.6766,64.27
23080,42836,82006,5034.81,29713.5,26750,68,18980,80270,205515,152924,19329,30641.48,10893.7192,236497,198323,1550,6952,25230,53862,15301,304353,0,56370,9327,44288,67945,20495,27470,112806,97176,96867,1207.03,497,21089,21854,58537.5,0,49202,14050,21324.0752,3821.61,1777.2904,13738.1391,0,37151,0,5536.2279,9763.92,7558,22220,15577.7653,69641,21633.5,26437.5,44470,14845,4987,0,20331.8111,169.34
44005,43197,73087,5068.46,17928.5,13310,0,16450,49574,142943,150050,18913,42891.67,10399.8678,200159,176733,20901,8314,19290,51287,17870,277485,0,40400,9403,43279,67536,20150,25170,102607,87754,86324,661.96,8425,0,29782,39546,0,123313,37153,21134.7319,16027.49,13445.7418,10894.5286,0,37902,0,15062.9324,35430.93,3321,11500,9158.3327,69164,18667.5,0,13820,10192,2539,0,19654.613,95.25
0,43097,80978,3626.76,8704.5,7830,0,0,43628,134137,98344,19454,36856.43,10782.4304,54842,155993,0,6870,19590,53814,17175,220877,0,0,5932,45558,67946,20448,0,44660,50615,49984,0,3825,21004,21825,28285.5,0,0,14162,0,2981.31,5551.4689,12220.3026,0,37300,0,4677.87995,20843.85,2995.5,0,17,69355,15557.5,13919.5,0,7472,2626,0,793.3164,76.53
0,42953,79308,3644.84,16292,7890,0,300,51038,117959,100675,18894,33009.43,8668.9624,60858,181370,0,6235,19570,53635,16590,277520,0,21040,5938,46766,70143,20056,0,86491,69056,68935,1186.15,1876,20693,21644,29388,0,0,18118,0,11408.88,20439.18,12083.0116,0,37998,0,10961.75405,25101.63,3169,12160,2704.9287,68492,14646.5,29826.5,14870,3600,2597,0,10810.6196,41.31
43157,43339,82312,7141.57,22167.5,11320,777,9040,81732,156266,144798,19144,37913.94,10501.4546,156982,194629,17618,0,19300,53853,12838,162379,2560,45640,9371,39044,67764,20411,9670,107957,94722,93772,1182.97,10723.5,0,32263,48788.5,0,134865,1636,0,2585.58,5450.4085,12812.4367,0,36826,37227,877.30835,8506.84,3034.5,14200,5971.515,69382,18595.5,31452.5,14830,6235,2376,0,0,64.31
46569,43135,81657,10497.34,21708,12120,5277,29330,47278,143916,199896,18420,46027.82,10156.8572,245278,192640,20834,3083,19150,53797,13038,277872,0,59160,23891,49007,67263,19921,39730,100662,94390,93455,5054.8,9346.5,0,21637,58786,0,192704,6338,21078.4171,352.32,29616.7668,11252.4431,13540,74211,109909,2596.1544,6599.31,31198,15540,14773.8027,69824,13834,180,45790,4342,4979,0,0,210.64
46505,42996,80592,10408.75,26470,19870,5259,9790,73320,108632,153089,18028,45923.65,10404.9834,210083,189262,20927,2665,27000,53834,12945,221056,0,37200,27845,48978,67022,20039,13840,79390,68482,67985,5304.71,6438,0,43468,58602.5,0,164513,14741,0,9198.08,1503.514,12870.7884,13327,74498,60296,9042.9659,22013.3,21196,11770,9541.3322,69260,14886,26688.5,28650,9072,5222,0,17177.4891,120.21
22995,43241,81395,7032.42,17612,22670,4979,16570,77238,176475,174000,18333,34824.04,10772.258,118384,193575,20910,6616,20210,53792,15564,306539,143,53440,9368,44656,67588,20709,37920,114181,98776,98641,2419.71,6852,21023,21633,70058,0,50902,4062,0,651.43,14799.9214,12830.3766,0,37150,23553,315.1974,6871.83,7482,15250,16652.2925,68875,14857,3222.5,44480,4166,5238,0,14250.7521,120.37
23637,43404,81687,3586.51,3957,10350,0,0,77147,129692,0,11904,38489.07,8431.969,59250,174428,0,7064,18800,53877,18723,165889,0,1420,5930,46512,68081,20441,0,79118,59434,59285,0,4132,21086,21868,48840.5,0,14954,9384,0,3566.17,16434.0585,12552.7204,0,32500,0,4510.21855,14566.72,2939.5,0,11690.2755,70137,18606.5,19909,0,8164,2278,0,207.1177,84.41
23250,43304,81258,5290.64,19010.5,21400,2978,18520,77918,214452,211621,5475,45154.89,10887.1924,206136,194338,0,6790,18700,53779,0,305131,0,60060,9378,45262,67856,20568,30130,116313,101806,100549,883.97,10764.5,20708,21944,54990.5,0,38997,13819,0,4327.83,24040.2574,11514.589,0,37261,0,7228.1492,12410.98,7420,14310,15165.1984,65596,18446,7921.5,41100,8026,2449,0,0,195.37
44751,43132,81201,5698.65,0,8360,0,0,23656,78065,0,18395,40432.53,9405.2364,189837,114654,0,2513,18980,53816,15068,220566,0,6370,9451,48845,67412,19964,0,48983,47825,47592,96.23,2810,0,21834,29551.5,0,161216,39079,0,9767.19,30799.198,11358.188,13402,74303,0,13913.94865,28578.22,9946,0,8676.3752,69835,11828.5,9463.5,0,4237,2389,0,10149.4764,114.46
26010,43248,81805,4576.27,27962,11360,0,2690,73643,144941,55052,3680,45486.7,10405.5,193864,198734,0,7946,31020,51750,13562,167790,3736,15450,9373,45347,68020,19786,11500,79728,64174,64038,627.58,11327,0,21650,49580,0,180423,17838,0,0,8878.21,12027.1,0,37181,314,6336.57,,3034.5,5000,15988.45,69507,11668,9183.5,14840,10623,2391,0,0,210.73
23418,43040,80901,8159.06,0,7830,2994,0,22201,29372,0,18436,40431.53,10399.4856,120148,160196,0,1202,20870,53836,10277,221420,3478,0,9443,48519,67678,19244,0,46061,24488,24020,0,961,0,27106,29352,0,104473,37015,0,15447.48,27776.421,10245.8576,13504,72948,0,14593.51395,35323.65,3050.5,0,79.6618,69753,10610,31265.5,0,1746,2584,0,0,87.54
45881,43175,81189,10048.18,36358,26830,5293,33670,104199,209492,168513,16768,35740.54,9308.7848,115683,193588,20931,7369,30440,0,14838,364664,0,101710,9359,49624,71288,20033,50130,88502,73753,72941,0,8905.5,21090,31153,75823.5,0,92243,15526,12376.8032,2778.1,18531.4146,13160.6325,0,37397,116431,4628.9898,14866.95,31133,24180,14857.2911,69014,15919,2234,46270,1820,8375,0,22356.3186,127
23737,43364,81746,5338,28181.5,24570,3011,20630,75904,214944,208524,5476,44403.56,10892.8764,215539,194652,0,7086,18520,53757,0,306936,0,53890,9378,45853,67856,21012,33050,117215,101153,99833,813.54,11747.5,21047,21936,64363.5,0,49288,28103,0,10911.89,25608.2782,12296.5445,0,37248,39399,9937.71785,23263.31,7532,16000,14995.4938,69633,18575.5,9571.5,41420,8135,4857,0,413.7099,177.15
0,42723,81792,3593.63,4694.5,12820,0,0,78772,128655,44995,19135,38209.18,10644.319,56101,161641,0,6830,19710,54111,15285,77063,0,0,5943,46065,67998,20889,0,116111,99941,99335,0,3946.5,21050,21827,58529,0,0,1600,0,163.34,24850.271,13936.8659,0,37194,0,562.31625,2636.69,3045,4640,4211.1576,70130,20986,8322.5,0,7809,2331,0,922.405,56.77
23863,43421,81702,5565.87,33804,25930,4311,27530,77591,222369,215385,5513,40263.51,11626.7298,239385,198679,21424,7058,31060,53886,18604,245407,0,76100,15912,46528,68529,20747,39470,111600,102234,101025,845.4,10887.5,21051,21642,59753,0,91966,19097,0,6893.42,0,12407.6149,0,37356,82990,7445.44025,13331.29,11415,25270,19317.1729,70379,18570,4586,44390,8199,5328,0,1861.6422,334.03
46900,43196,80685,11160.16,32392,24990,5278,26680,75925,151021,215725,18036,44671.49,10839.1822,243802,189617,20923,2748,31290,53900,13172,222172,0,74310,37525,49159,67236,19939,39630,79352,69117,69475,5722.46,13305,0,46508,61272.5,0,204229,16390,0,2462.33,2842.6259,13156.8343,13330,74504,118924,5431.75615,11804.2,30925.5,13770,24763.8576,69632,14943.5,26473.5,29160,12266,5405,0,16617.5169,250.76
22737,43326,80990,3536.99,0,11280,0,0,19951,96772,0,18469,37167.19,9310.4018,117456,113029,0,1967,19630,50200,18130,165494,0,3110,5912,51182,68056,20189,0,74778,36919,36585,0,2203.5,0,21694,47563.5,0,146093,22386,0,0.16,5790.9529,12486.2369,0,72843,0,8955.60045,13145.46,2962,0,1883.3041,70261,12386,24438,0,4337,2303,0,24133.4053,72.4
0,43400,82357,4255.75,6797.5,24540,0,8780,74373,217257,52861,18911,39453.26,10280.2686,117901,173665,0,8748,19350,53928,16924,126400,0,15870,9435,47174,67232,20387,0,80999,51592,50996,764.7,12201,0,29370,49484,0,155754,37578,0,8612.71,11094.9596,11411.9282,0,38001,0,14300.79035,24968.75,2937.5,11010,17233.2738,69603,18542.5,1500.5,14810,9444,2388,0,19235.5801,143.91
0,42874,78507,5060.92,16421.5,7800,5423,10230,75280,191312,162414,18863,34066.34,9294.516,91907,184791,19477,6917,19500,53466,15193,275926,0,39870,9362,44751,69789,18603,26370,55496,48142,48029,814.01,615.5,20589,21642,45486.5,0,0,32405,0,15031.39,28531.239,11259.7221,0,37999,0,15347.0791,38087.38,3153.5,10370,5839.1628,68006,14596.5,25650,14810,1061,2242,0,2358.5398,67.88
43695,43137,81271,5063.17,16914.5,12820,0,9260,75141,150856,103182,18789,39352.14,10040.0216,206427,195145,20848,7735,18370,51205,15541,307172,0,39240,9379,42654,67457,19683,25100,72370,73671,72995,707.12,9603,0,29638,39361,0,170878,2758,15303.4904,0,23882.3722,10850.7054,0,38000,0,554.0681,0,3222,11090,16396.1083,69221,17567.5,0,28620,10291,2293,0,22716.9006,107.64
22782,43198,80781,6228.59,22495.5,12190,5454,26070,99609,182195,169007,15863,32968.37,8814.1102,92977,189607,20589,6519,19610,53740,18250,366371,430,57270,32878,40824,70404,20076,47520,74005,68139,68458,1748.01,8430,20875,29566,69727,0,0,10075,0,238.02,25708.8548,12476.1017,0,37691,119427,1047.49445,3240.18,2929.5,17190,16532.2842,67582,17486.5,14684.5,44200,1339,3491,0,13501.977,180.38
23439,43177,82110,4381.65,21525.5,24650,0,0,50187,105088,102983,18786,45849.54,9420.3872,193415,199616,0,7587,23750,51871,3556,165778,0,28140,9430,45004,68000,19773,0,100948,71667,71858,541.68,5571,0,29632,39084,0,180047,34872,13983.5502,0,8652.3492,12026.0484,0,38002,0,14445.2952,,3237.5,11240,5624.2673,69409,14838,21412,27720,10118,2287,0,20447.2964,100.93
